COH_sample	batch	batch1	batch2	batch3
COH000329_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000330_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000331_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000332_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000333_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000334_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000335_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000336_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000337_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000338_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000339_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000340_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000341_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000342_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000343_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000344_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000345_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000346_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000347_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000348_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000349_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000350_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000351_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000352_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000353_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000354_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000355_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000356_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000357_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000358_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000359_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000360_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000361_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000362_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000363_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000364_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000365_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000366_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000367_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000368_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000369_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000370_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000371_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000372_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000373_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000374_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000375_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000376_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000377_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000378_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000379_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000380_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000381_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000382_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000383_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000384_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000385_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000386_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000387_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000388_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000389_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000390_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000391_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000392_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000393_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000394_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000395_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
