COH_sample	X	Y	Z	PerplexityN	FeatureN
COH000340_D1	31.9102662430345	18.8968507897044	-40.0105067511245	20	200
COH000341_D1	-4.4598666475684	55.9482878634493	-0.0600158760934538	20	200
COH000342_D1	2.45886789277797	27.8932576181904	-7.94107857561791	20	200
COH000343_D1	32.4337889864886	17.2914852321855	-42.1547716766035	20	200
COH000346_D1	7.55987589465631	36.9827938350239	38.4388848846974	20	200
COH000347_D1	-10.830443070594	17.0905514999652	16.912328100414	20	200
COH000348_D1	-57.6405837300805	0.839280759838144	10.6817727190964	20	200
COH000349_D1	-57.2123734108463	0.675989267909602	10.7814006906402	20	200
COH000350_D1	-33.7445714581236	-13.0786306984214	-8.67967300227469	20	200
COH000351_D1	-35.0163548050359	-12.7783329500154	-9.06411896064316	20	200
COH000352_D1	-17.2209138526962	12.4467881796522	19.8592618541171	20	200
COH000355_D1	34.494091231223	26.9048718889592	-2.63468148988329	20	200
COH000357_D1	27.1462234536012	16.7238629916544	-46.1778878345572	20	200
COH000358_D1	-15.3207267762364	14.9122938490905	15.3524743779031	20	200
COH000359_D1	-4.47568183657075	19.3203897893709	25.3479444874162	20	200
COH000361_D1	-20.52344002552	19.3141164845228	13.9056789841673	20	200
COH000364_D1	-28.2157315513091	15.6741615255453	-24.3179652269729	20	200
COH000366_D1	-32.3985116922591	-11.1480587098671	-2.66384478986366	20	200
COH000367_D1	24.4241983273142	16.7465799107031	-44.8375454582585	20	200
COH000368_D1	-25.7474826955354	14.5726267952804	-22.7519888361438	20	200
COH000369_D1	-5.36894557872001	-49.4640965492354	6.96140292210281	20	200
COH000371_D1	-4.54292282478477	57.2053557289717	-3.57823682235016	20	200
COH000372_D1	-55.5759514599646	2.37903225738369	9.09680666144684	20	200
COH000373_D1	-59.1267073055983	1.6136954355819	10.5123830588265	20	200
COH000375_D1	-4.47814974655178	-46.1079564781641	2.04245139595698	20	200
COH000377_D1	34.2830253127121	18.6197373732429	-42.655672904253	20	200
COH000378_D1	-7.01809084036111	12.6505464957119	26.9483231773351	20	200
COH000379_D1	14.1115842389547	-8.2767070883716	44.9355412030172	20	200
COH000380_D1	-0.431160543750458	49.3364355823939	-4.40991722324287	20	200
COH000381_D1	22.9585062241674	-25.7997483395581	-8.64913429533716	20	200
COH000382_D1	32.4131654400952	30.2235402470678	-4.02937747509583	20	200
COH000383_D1	32.3962275063089	21.3233248603221	-46.1507011629667	20	200
COH000384_D1	5.64021555843533	34.9438213590947	38.9848968246317	20	200
COH000385_D1	-23.1773991449866	11.4922317349643	-24.9756938041445	20	200
COH000387_D1	-5.20598451992835	58.985652006758	0.793586794036388	20	200
COH000388_D1	3.85885593311807	-4.88710688933268	-34.7405543366036	20	200
COH000391_D1	0.457049046698166	-50.9149496904395	6.46639160492116	20	200
COH000392_D1	3.43466809682171	23.8297033559489	-16.7972578950903	20	200
COH000394_D1	-45.056128243235	9.11484123372927	2.39935577696369	20	200
COH000395_D1	3.20377307556881	-41.0219532651945	13.7524947783075	20	200
COH000396_D1	3.05512362506792	-41.2648125518793	13.596452107376	20	200
COH000399_D1	4.33686552880887	-16.4870559149592	-27.4267957532333	20	200
COH000401_D1	0.202037141523422	-47.6538025177515	10.1122668893335	20	200
COH000402_D1	2.60037690620187	-50.7716818809545	3.76461317342578	20	200
COH000403_D1	3.35120860896434	-48.8767199437405	5.14602545370541	20	200
COH000404_D1	-1.69999686785057	-48.8600505923132	4.87976603600324	20	200
COH000405_D1	7.25538110184965	-51.0978863261973	4.88580464588421	20	200
COH000406_D1	7.19110536427791	-51.3177812429971	4.87196700807721	20	200
COH000407_D1	-24.600504418385	6.07458958811705	0.667729874358714	20	200
COH000408_D1	4.98468332726089	-9.7790430911664	-30.3482186518187	20	200
COH000410_D1	-0.0397096220313332	-43.7041499499613	17.2240642003759	20	200
COH000411_D1	31.6027540571828	17.4252928781038	-43.8243131710683	20	200
COH000412_D1	1.50052701971435	-14.50285607999	-34.7164540881912	20	200
COH000415_D1	4.63498833339444	-17.6154782417141	-29.0626028801019	20	200
COH000417_D1	0.415338676074736	-45.3104941009102	11.9634637491874	20	200
COH000418_D1	26.0982427319863	-26.1075163081799	-5.99424342790762	20	200
COH000420_D1	30.6803425260361	16.870270344526	-43.8509237956176	20	200
COH000423_D1	2.10244945081301	-41.6174745292395	14.2247844813617	20	200
COH000424_D1	0.423430114124852	-46.3099752165652	-0.404877436209197	20	200
COH000425_D1	-8.63097909338843	13.8448546976935	15.4655800045852	20	200
COH000427_D1	2.03580351296236	-42.2166851684435	11.3649339042309	20	200
COH000428_D1	1.76090146933879	-41.0225874239858	18.0580191604154	20	200
COH000429_D1	1.54782237043204	-14.8007944224142	-22.4191127394761	20	200
COH000430_D1	3.79109970745275	-50.5730803591068	3.51522346860139	20	200
COH000431_D1	3.38674767776584	-17.599812658661	-27.9757221407336	20	200
COH000432_D1	-0.895851160120671	-48.611646739045	5.5612958531546	20	200
COH000433_D1	-0.384954157690832	-45.4245628445147	3.94384581595957	20	200
COH000434_D1	2.85205995349367	-41.8629018497786	12.8573410148024	20	200
COH000436_D1	22.6865462450342	-24.2579644658292	-12.7144696671413	20	200
COH000437_D1	-12.4783889062017	18.7754996719928	15.7243683683628	20	200
COH000438_D1	-56.0357204316905	3.29651206104672	7.8366262195083	20	200
COH000439_D1	21.3953163204782	0.31837269703282	12.989984707253	20	200
COH000440_D1	-34.752737474931	-12.4203242357591	-8.28715404814018	20	200
COH000442_D1	27.704558558559	17.9407810873282	-41.0824460734843	20	200
COH000443_D1	-58.9707740097679	4.38956217026479	5.97946186274377	20	200
COH000445_D1	-15.3378071749188	21.9904180669376	13.3917411627407	20	200
COH000446_D1	14.3762888368409	-2.2152992516373	10.5089951588272	20	200
COH000447_D1	32.004747863622	29.7776725665674	-3.48871543182463	20	200
COH000448_D1	-7.23359925367982	17.2508642468213	24.7013973503994	20	200
COH000454_D1	35.2599590286924	15.9868560222405	-43.796331589306	20	200
COH000455_D1	31.6423627927937	26.7656266631833	2.24923194298708	20	200
COH000456_D1	18.1343461543292	12.6022093350367	-31.9091701229207	20	200
COH000457_D1	-1.773748447698	46.4252804283085	-5.27818707349617	20	200
COH000459_D1	-7.98086367909221	17.1370731147402	28.2964998560104	20	200
COH000461_D1	28.5290188225022	17.9043252833553	-45.7227280825353	20	200
COH000463_D1	5.87714048827788	33.3157186122192	43.0975779629047	20	200
COH000467_D1	34.4752918609158	19.9314392350937	-43.2095220659432	20	200
COH000469_D1	-0.526503537631433	45.6210011417107	-6.96254488139787	20	200
COH000470_D1	35.5938918900943	17.1735293329527	-44.1783370773345	20	200
COH000475_D1	29.9374817833819	29.044669982714	-2.2549676183834	20	200
COH000476_D1	33.1757696554371	30.9186877605861	-6.16177488915805	20	200
COH000478_D1	-7.25066997048763	-44.9379330068033	5.77201200739731	20	200
